"Plot Title: LB_2_C"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10559462, SEN S/N: 10559462)","Full Range, μS/cm (LGR S/N: 10559462, SEN S/N: 10559462)","Temp, °C (LGR S/N: 10559462, SEN S/N: 10559462)","Coupler Detached (LGR S/N: 10559462)","Coupler Attached (LGR S/N: 10559462)","Host Connected (LGR S/N: 10559462)","Stopped (LGR S/N: 10559462)","End Of File (LGR S/N: 10559462)"
1,01/09/15 10:50:00 AM,940.33,984.82,3.12,Logged,,,,
2,01/09/15 11:00:00 AM,940.93,986.00,3.16,,,,,
3,01/09/15 11:10:00 AM,942.65,988.33,3.27,,,,,
4,01/09/15 11:20:00 AM,944.40,990.27,3.34,,,,,
5,01/09/15 11:30:00 AM,943.72,989.91,3.30,,,,,
6,01/09/15 11:40:00 AM,946.00,992.23,3.41,,,,,
7,01/09/15 11:50:00 AM,946.46,992.63,3.42,,,,,
8,01/09/15 12:00:00 PM,945.83,991.82,3.42,,,,,
9,01/09/15 12:10:00 PM,944.75,991.03,3.39,,,,,
10,01/09/15 12:20:00 PM,942.76,988.68,3.32,,,,,
11,01/09/15 12:30:00 PM,948.19,994.95,3.52,,,,,
12,01/09/15 12:40:00 PM,951.74,998.83,3.69,,,,,
13,01/09/15 12:50:00 PM,952.25,998.78,3.74,,,,,
14,01/09/15 01:00:00 PM,955.36,1002.68,3.88,,,,,
15,01/09/15 01:10:00 PM,959.39,1007.37,4.05,,,,,
16,01/09/15 01:20:00 PM,961.07,1009.33,4.11,,,,,
17,01/09/15 01:30:00 PM,963.51,1012.08,4.20,,,,,
18,01/09/15 01:40:00 PM,964.79,1013.22,4.27,,,,,
19,01/09/15 01:50:00 PM,963.70,1012.02,4.26,,,,,
20,01/09/15 02:00:00 PM,962.02,1010.87,4.19,,,,,
21,01/09/15 02:10:00 PM,960.68,1009.67,4.18,,,,,
22,01/09/15 02:20:00 PM,958.41,1006.94,4.08,,,,,
23,01/09/15 02:30:00 PM,954.96,1002.76,3.81,,,,,
24,01/09/15 02:40:00 PM,949.73,996.94,3.56,,,,,
25,01/09/15 02:50:00 PM,949.04,996.15,3.54,,,,,
26,01/09/15 03:00:00 PM,949.74,996.55,3.55,,,,,
27,01/09/15 03:10:00 PM,948.61,995.38,3.50,,,,,
28,01/09/15 03:20:00 PM,946.12,992.68,3.37,,,,,
29,01/09/15 03:30:00 PM,945.13,991.50,3.33,,,,,
30,01/09/15 03:40:00 PM,944.88,991.49,3.34,,,,,
