"Plot Title: LB_2_L"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10522881, SEN S/N: 10522881)","Temp, °C (LGR S/N: 10522881, SEN S/N: 10522881)","Coupler Detached (LGR S/N: 10522881)","Coupler Attached (LGR S/N: 10522881)","Host Connected (LGR S/N: 10522881)","Stopped (LGR S/N: 10522881)","End Of File (LGR S/N: 10522881)"
1,12/14/14 10:50:00 AM,99.299,7.983,Logged,,,,
2,12/14/14 11:00:00 AM,100.879,6.573,,,,,
3,12/14/14 11:10:00 AM,100.845,6.471,,,,,
4,12/14/14 11:20:00 AM,100.841,6.370,,,,,
5,12/14/14 11:30:00 AM,100.845,6.471,,,,,
6,12/14/14 11:40:00 AM,100.829,6.471,,,,,
7,12/14/14 11:50:00 AM,100.799,6.471,,,,,
8,12/14/14 12:00:00 PM,100.784,6.471,,,,,
9,12/14/14 12:10:00 PM,100.784,6.471,,,,,
10,12/14/14 12:20:00 PM,100.769,6.471,,,,,
11,12/14/14 12:30:00 PM,100.738,6.471,,,,,
12,12/14/14 12:40:00 PM,100.726,6.573,,,,,
13,12/14/14 12:50:00 PM,100.726,6.573,,,,,
14,12/14/14 01:00:00 PM,100.711,6.573,,,,,
15,12/14/14 01:10:00 PM,100.696,6.573,,,,,
16,12/14/14 01:20:00 PM,100.684,6.674,,,,,
17,12/14/14 01:30:00 PM,100.684,6.674,,,,,
18,12/14/14 01:40:00 PM,100.669,6.674,,,,,
19,12/14/14 01:50:00 PM,100.700,6.674,,,,,
20,12/14/14 02:00:00 PM,100.684,6.674,,,,,
21,12/14/14 02:10:00 PM,100.684,6.674,,,,,
22,12/14/14 02:20:00 PM,100.669,6.674,,,,,
23,12/14/14 02:30:00 PM,100.684,6.674,,,,,
24,12/14/14 02:40:00 PM,100.684,6.674,,,,,
25,12/14/14 02:50:00 PM,100.669,6.674,,,,,
26,12/14/14 03:00:00 PM,100.654,6.674,,,,,
27,12/14/14 03:10:00 PM,100.669,6.674,,,,,
28,12/14/14 03:20:00 PM,100.654,6.674,,,,,
29,12/14/14 03:30:00 PM,100.669,6.674,,,,,
30,12/14/14 03:40:00 PM,100.669,6.674,,,,,
31,12/14/14 03:50:00 PM,100.684,6.674,,,,,
32,12/14/14 04:00:00 PM,100.669,6.674,,,,,
33,12/14/14 04:10:00 PM,100.669,6.674,,,,,
34,12/14/14 04:20:00 PM,100.669,6.674,,,,,
35,12/14/14 04:30:00 PM,100.654,6.674,,,,,
36,12/14/14 04:40:00 PM,100.654,6.674,,,,,
37,12/14/14 04:50:00 PM,100.669,6.674,,,,,
38,12/14/14 05:00:00 PM,100.684,6.674,,,,,
39,12/14/14 05:10:00 PM,100.681,6.573,,,,,
40,12/14/14 05:20:00 PM,100.681,6.573,,,,,
41,12/14/14 05:30:00 PM,100.681,6.573,,,,,
42,12/14/14 05:40:00 PM,100.696,6.573,,,,,
43,12/14/14 05:50:00 PM,100.696,6.573,,,,,
44,12/14/14 06:00:00 PM,100.696,6.573,,,,,
45,12/14/14 06:10:00 PM,100.681,6.573,,,,,
46,12/14/14 06:20:00 PM,100.666,6.573,,,,,
47,12/14/14 06:30:00 PM,100.681,6.573,,,,,
48,12/14/14 06:40:00 PM,100.666,6.573,,,,,
49,12/14/14 06:50:00 PM,100.696,6.573,,,,,
50,12/14/14 07:00:00 PM,100.696,6.573,,,,,
51,12/14/14 07:10:00 PM,100.696,6.573,,,,,
52,12/14/14 07:20:00 PM,100.666,6.573,,,,,
53,12/14/14 07:30:00 PM,100.677,6.471,,,,,
54,12/14/14 07:40:00 PM,100.662,6.471,,,,,
55,12/14/14 07:50:00 PM,100.662,6.471,,,,,
56,12/14/14 08:00:00 PM,100.666,6.573,,,,,
57,12/14/14 08:10:00 PM,100.666,6.573,,,,,
58,12/14/14 08:20:00 PM,100.666,6.573,,,,,
59,12/14/14 08:30:00 PM,100.635,6.573,,,,,
60,12/14/14 08:40:00 PM,100.620,6.573,,,,,
61,12/14/14 08:50:00 PM,100.639,6.674,,,,,
62,12/14/14 09:00:00 PM,100.639,6.674,,,,,
63,12/14/14 09:10:00 PM,100.639,6.674,,,,,
64,12/14/14 09:20:00 PM,100.624,6.674,,,,,
65,12/14/14 09:30:00 PM,100.593,6.674,,,,,
66,12/14/14 09:40:00 PM,100.608,6.674,,,,,
67,12/14/14 09:50:00 PM,100.593,6.674,,,,,
68,12/14/14 10:00:00 PM,100.593,6.674,,,,,
69,12/14/14 10:10:00 PM,100.608,6.674,,,,,
70,12/14/14 10:20:00 PM,100.624,6.674,,,,,
71,12/14/14 10:30:00 PM,100.608,6.674,,,,,
72,12/14/14 10:40:00 PM,100.593,6.674,,,,,
73,12/14/14 10:50:00 PM,100.578,6.674,,,,,
74,12/14/14 11:00:00 PM,100.563,6.674,,,,,
75,12/14/14 11:10:00 PM,100.563,6.674,,,,,
76,12/14/14 11:20:00 PM,100.563,6.674,,,,,
77,12/14/14 11:30:00 PM,100.544,6.573,,,,,
78,12/14/14 11:40:00 PM,100.544,6.573,,,,,
79,12/14/14 11:50:00 PM,100.559,6.573,,,,,
80,12/15/14 12:00:00 AM,100.544,6.573,,,,,
81,12/15/14 12:10:00 AM,100.529,6.573,,,,,
82,12/15/14 12:20:00 AM,100.529,6.573,,,,,
83,12/15/14 12:30:00 AM,100.559,6.573,,,,,
84,12/15/14 12:40:00 AM,100.574,6.573,,,,,
85,12/15/14 12:50:00 AM,100.544,6.573,,,,,
86,12/15/14 01:00:00 AM,100.544,6.573,,,,,
87,12/15/14 01:10:00 AM,100.544,6.573,,,,,
88,12/15/14 01:20:00 AM,100.559,6.573,,,,,
89,12/15/14 01:30:00 AM,100.529,6.573,,,,,
90,12/15/14 01:40:00 AM,100.544,6.573,,,,,
91,12/15/14 01:50:00 AM,100.544,6.573,,,,,
92,12/15/14 02:00:00 AM,100.559,6.573,,,,,
93,12/15/14 02:10:00 AM,100.559,6.573,,,,,
94,12/15/14 02:20:00 AM,100.574,6.573,,,,,
95,12/15/14 02:30:00 AM,100.574,6.573,,,,,
96,12/15/14 02:40:00 AM,100.574,6.573,,,,,
97,12/15/14 02:50:00 AM,100.559,6.573,,,,,
98,12/15/14 03:00:00 AM,100.559,6.573,,,,,
99,12/15/14 03:10:00 AM,100.574,6.573,,,,,
100,12/15/14 03:20:00 AM,100.574,6.573,,,,,
101,12/15/14 03:30:00 AM,100.559,6.573,,,,,
102,12/15/14 03:40:00 AM,100.574,6.573,,,,,
103,12/15/14 03:50:00 AM,100.559,6.573,,,,,
104,12/15/14 04:00:00 AM,100.544,6.573,,,,,
105,12/15/14 04:10:00 AM,100.559,6.573,,,,,
106,12/15/14 04:20:00 AM,100.529,6.573,,,,,
107,12/15/14 04:30:00 AM,100.513,6.573,,,,,
108,12/15/14 04:40:00 AM,100.498,6.573,,,,,
109,12/15/14 04:50:00 AM,100.468,6.573,,,,,
110,12/15/14 05:00:00 AM,100.483,6.573,,,,,
111,12/15/14 05:10:00 AM,100.483,6.573,,,,,
112,12/15/14 05:20:00 AM,100.483,6.573,,,,,
113,12/15/14 05:30:00 AM,100.471,6.674,,,,,
114,12/15/14 05:40:00 AM,100.441,6.674,,,,,
115,12/15/14 05:50:00 AM,100.426,6.674,,,,,
116,12/15/14 06:00:00 AM,100.441,6.674,,,,,
117,12/15/14 06:10:00 AM,100.441,6.674,,,,,
118,12/15/14 06:20:00 AM,100.456,6.674,,,,,
119,12/15/14 06:30:00 AM,100.441,6.674,,,,,
120,12/15/14 06:40:00 AM,100.456,6.674,,,,,
121,12/15/14 06:50:00 AM,100.456,6.674,,,,,
122,12/15/14 07:00:00 AM,100.456,6.674,,,,,
123,12/15/14 07:10:00 AM,100.426,6.674,,,,,
